PRODUCT,DATE,SUMMARY,SENTIMENT_SCORE
Avalanche Jacket Pro,2024-01-03,Kept me warm on a -10C hike in Colorado loved it,0.85
Avalanche Jacket Pro,2024-01-09,Zipper broke after two weeks of light use,-0.62
Avalanche Jacket Pro,2024-01-15,Good jacket but a bit heavier than expected,0.15
Avalanche Jacket Pro,2024-01-22,Excellent value for the price highly recommend,0.90
Avalanche Jacket Pro,2024-02-02,Average nothing special about it,0.02
Avalanche Jacket Pro,2024-02-11,Warm but not very breathable during activity,-0.20
Avalanche Jacket Pro,2024-02-19,Perfect fit and the hood works great in wind,0.78
Avalanche Jacket Pro,2024-03-01,Started peeling at the seams after a month,-0.70
Avalanche Trail Boots,2024-01-05,Comfortable but sizing runs small order a half size up,0.20
Avalanche Trail Boots,2024-01-12,Best boots I have owned great grip on wet rock,0.92
Avalanche Trail Boots,2024-01-18,Sole separated from the boot after one trip,-0.85
Avalanche Trail Boots,2024-01-25,Solid boots for the price break them in first,0.55
Avalanche Trail Boots,2024-02-08,Waterproofing failed in light rain very disappointed,-0.68
Avalanche Trail Boots,2024-02-15,Great ankle support on uneven terrain,0.72
Avalanche Trail Boots,2024-02-24,Fine boots but nothing that stands out,0.05
Avalanche Trail Boots,2024-03-05,Laces are cheap and fray quickly,-0.30
Avalanche Backpack 40L,2024-01-07,Decent capacity but straps dig in on long days,-0.10
Avalanche Backpack 40L,2024-01-14,Perfect for weekend trips lots of pockets,0.75
Avalanche Backpack 40L,2024-01-21,Rain cover is a nice touch stayed dry all day,0.60
Avalanche Backpack 40L,2024-01-30,Stitching came apart within a month of use,-0.72
Avalanche Backpack 40L,2024-02-06,Comfortable frame even when fully loaded,0.65
Avalanche Backpack 40L,2024-02-13,Zipper pulls snapped off within weeks,-0.55
Avalanche Backpack 40L,2024-02-21,Works well but a bit bulky for shorter trips,0.10
Avalanche Backpack 40L,2024-03-02,Fantastic organization and very durable fabric,0.88
Avalanche Base Layer,2024-01-04,Itchy fabric would not buy again,-0.80
Avalanche Base Layer,2024-01-11,Warm and breathable exactly as described,0.68
Avalanche Base Layer,2024-01-19,Shrunk noticeably in the wash,-0.40
Avalanche Base Layer,2024-01-27,Great layer for cold mornings on the trail,0.70
Avalanche Base Layer,2024-02-04,Seams started fraying after light use,-0.58
Avalanche Base Layer,2024-02-12,Soft comfortable and dries quickly,0.66
Avalanche Base Layer,2024-02-20,Its fine but overpriced for what you get,-0.15
Avalanche Base Layer,2024-03-03,Perfect fit and great for layering,0.72
Avalanche Gloves,2024-01-06,Fingers got cold within twenty minutes,-0.50
Avalanche Gloves,2024-01-13,Great grip and warmth for the price,0.77
Avalanche Gloves,2024-01-20,Stitching unraveled after first wash,-0.66
Avalanche Gloves,2024-01-28,Perfect for winter commuting on the bike,0.80
Avalanche Gloves,2024-02-05,Decent but the touchscreen fingertips do not work well,-0.05
Avalanche Gloves,2024-02-14,Warm windproof and true to size,0.74
Avalanche Sunglasses,2024-01-08,Lenses scratched within the first week,-0.60
Avalanche Sunglasses,2024-01-16,Great polarization and lightweight frame,0.82
Avalanche Sunglasses,2024-01-24,Fit is loose and they slide down my nose,-0.35
Avalanche Sunglasses,2024-02-01,Exactly what I needed for high altitude glare,0.79
Avalanche Sunglasses,2024-02-09,Case is flimsy but the glasses themselves are solid,0.20
Avalanche Sunglasses,2024-02-17,Arrived with a crack in the lens,-0.75
